Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
PPARG,NCOA4,"15-deoxy-Delta(12,14)-prostaglandin J2"
CD2BP2,SNRNP200,HEK-293 cell
GIPC1,MYO6,HEK-293 cell
CD2BP2,PRPF8,HEK-293 cell
ARF6,LRPPRC,HEK-293 cell
YWHAG,KIF5B,HEK-293 cell
CNOT8,CNOT1,HEK-293 cell
ASF1B,IPO4,HEK-293 cell
ASF1B,CDAN1,HEK-293 cell
CD2BP2,EFTUD2,HEK-293 cell
YWHAG,SRRM2,HEK-293 cell
BTG2,CNOT1,HEK-293 cell
ASF1B,TLK2,HEK-293 cell
IKBKE,ROCK2,HEK-293 cell
YWHAB,KIF5B,HEK-293 cell
YWHAG,FRYL,HEK-293 cell
RNPS1,SNRNP200,HEK-293 cell
FBXO4,CUL1,HEK-293 cell
YWHAB,MPRIP,HEK-293 cell
YWHAG,MPRIP,HEK-293 cell
UBE2I,RANGAP1,HEK-293 cell
GSTK1,LRPPRC,HEK-293 cell
PNKP,LIG4,HEK-293 cell
YWHAG,PI4KB,HEK-293 cell
PSMD10,PSMD1,HEK-293 cell
AES,TLE3,HEK-293 cell
MCC,CLTC,HEK-293 cell
GSK3B,GEMIN4,HEK-293 cell
ACP6,ILK,HEK-293 cell
PSMD10,PSMD2,HEK-293 cell
RNPS1,CDK11B,HEK-293 cell
YWHAB,SRRM2,HEK-293 cell
PNKP,LIG3,HEK-293 cell
TNFRSF14,UGGT1,HEK-293 cell
LGALS9,CTNNB1,HEK-293 cell
RNPS1,GEMIN4,HEK-293 cell
CDKN2C,CDK4,HEK-293 cell
PTP4A3,GCN1L1,HEK-293 cell
UBE2I,SAE1,HEK-293 cell
RIOK3,RUVBL2,HEK-293 cell
CHST12,UGGT1,HEK-293 cell
SNRPB,PRPF8,HEK-293 cell
PSMD10,PSMD11,HEK-293 cell
EEF1A2,VARS,HEK-293 cell
RNPS1,MKLN1,HEK-293 cell
YWHAG,KLC1,HEK-293 cell
YWHAG,LARP1,HEK-293 cell
SMYD2,GSK3B,HEK-293 cell
YWHAB,IRS2,HEK-293 cell
YWHAG,MLLT4,HEK-293 cell
ASF1B,TLK1,HEK-293 cell
PON2,RUVBL2,HEK-293 cell
RNPS1,SKIV2L2,HEK-293 cell
RUVBL1,RUVBL2,HEK-293 cell
SAE1,UBA2,HEK-293 cell
VHL,CUL2,HEK-293 cell
PSMD10,PSMC5,HEK-293 cell
ARF6,IQGAP1,HEK-293 cell
STK24,STRN,HEK-293 cell
HLA-B,PFAS,HEK-293 cell
CD2BP2,DDX23,HEK-293 cell
TMBIM4,SLC27A4,HEK-293 cell
YWHAZ,KIF5B,HEK-293 cell
ARF6,DYNC1H1,HEK-293 cell
NEK6,NEK9,HEK-293 cell
GSK3B,SMYD2,HEK-293 cell
YWHAB,RAI14,HEK-293 cell
ILK,ACP6,HEK-293 cell
PLRG1,PRPF19,HEK-293 cell
MCC,STRN,HEK-293 cell
MCC,STK24,HEK-293 cell
MPDU1,MORF4L2,HEK-293 cell
YWHAB,SAMD4B,HEK-293 cell
EIF3A,EIF3L,HEK-293 cell
WRAP73,COPS4,HEK-293 cell
VHL,CAB39,HEK-293 cell
PSMD10,PSMC4,HEK-293 cell
PPP4C,SMEK1,HEK-293 cell
SNRPB,SNRNP200,HEK-293 cell
YWHAB,BRAF,HEK-293 cell
TRIP6,P4HB,HEK-293 cell
EEF1A2,EEF1D,HEK-293 cell
HLA-B,VCP,HEK-293 cell
CD2BP2,PRPF6,HEK-293 cell
IKBKE,CLTC,HEK-293 cell
RNPS1,PRPF8,HEK-293 cell
STK24,STRN3,HEK-293 cell
EIF6,BCCIP,HEK-293 cell
WRAP73,COPS3,HEK-293 cell
GABARAPL2,IRGQ,HEK-293 cell
NFKBIL1,GEMIN4,HEK-293 cell
RNPS1,EFTUD2,HEK-293 cell
RNPS1,LUC7L2,HEK-293 cell
VHL,TGFB1I1,HEK-293 cell
RUVBL1,C2orf44,HEK-293 cell
CTNNBIP1,CTNNB1,HEK-293 cell
CTNNBIP1,GLB1,HEK-293 cell
RNPS1,PRPF4B,HEK-293 cell
ARF6,KIAA0368,HEK-293 cell
TMBIM4,RPN2,HEK-293 cell
PPP1CB,PPP1R7,HEK-293 cell
IKBKE,LRPPRC,HEK-293 cell
AES,TLE1,HEK-293 cell
CDC20,KRT85,HEK-293 cell
NEK6,EML3,HEK-293 cell
YWHAG,BRAF,HEK-293 cell
UBE2I,RANBP2,HEK-293 cell
PLRG1,CDC5L,HEK-293 cell
PSMD10,PSMC1,HEK-293 cell
SMYD2,EPB41L3,HEK-293 cell
YWHAB,PI4KB,HEK-293 cell
IKBKE,DSTYK,HEK-293 cell
WRAP73,COPS2,HEK-293 cell
